Movies Names,Rating out of 10,Count of Ratings,Release Date,Budget,Domestic Gross,Domestic Gross2,Domestic Weekend Gross,Domestic Weekend,Domestic Weekend Gross Date,Worldwide Gross
The Shawshank Redemption,9.3,2.9M,"October 14, 1994 (India)","$25,000,000 (estimated)",US & Canada,$28767189,US & Canada,$727327,Sep 25 1994,"$28,904,642"
The Godfather,9.2,2M,1978 (India),"$6,000,000 (estimated)",US & Canada,$136381073,US & Canada,$302393,Mar 19 1972,"$250,342,030"
The Dark Knight,9.0,2.9M,"July 18, 2008 (India)","$185,000,000 (estimated)",US & Canada,$534987076,US & Canada,$158411483,Jul 20 2008,"$1,008,486,720"
The Godfather: Part II,9.0,1.4M,1979 (India),"$13,000,000 (estimated)",US & Canada,$47834595,US & Canada,$171417,Nov 10 2019,"$47,962,897"
12 Angry Men,9.0,861K,"April 10, 1957 (United States)","$350,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$2,667"
Schindler's List,9.0,1.4M,"December 15, 1993 (India)","$22,000,000 (estimated)",US & Canada,$96898818,US & Canada,$656636,Dec 19 1993,"$322,161,245"
The Lord of the Rings: The Return of the King,9.0,2M,"February 6, 2004 (India)","$94,000,000 (estimated)",US & Canada,$379427292,US & Canada,$72629713,Dec 21 2003,"$1,156,598,523"
Pulp Fiction,8.9,2.2M,"October 14, 1994 (India)","$8,000,000 (estimated)",US & Canada,$107928762,US & Canada,$9311882,Oct 16 1994,"$213,928,762"
The Lord of the Rings: The Fellowship of the Ring,8.9,2M,"March 15, 2002 (India)","$93,000,000 (estimated)",US & Canada,$316115420,US & Canada,$47211490,Dec 23 2001,"$884,041,698"
"Il Buono, Il Brutto, Il Cattivo",8.8,809K,"April 15, 1969 (India)","$1,200,000 (estimated)",US & Canada,$25100000,US & Canada,Not Found,Not Found,"$25,259,657"
Forrest Gump,8.8,2.2M,"September 12, 2014 (India)","$55,000,000 (estimated)",US & Canada,$330455270,US & Canada,$24450602,Jul 10 1994,"$678,226,465"
The Lord of the Rings: The Two Towers,8.8,1.8M,"March 28, 2003 (India)","$94,000,000 (estimated)",US & Canada,$342952511,US & Canada,$62007528,Dec 22 2002,"$948,945,489"
Fight Club,8.8,2.3M,"October 15, 1999 (India)","$63,000,000 (estimated)",US & Canada,$37030102,US & Canada,$11035485,Oct 17 1999,"$101,320,107"
Inception,8.8,2.5M,"July 16, 2010 (India)","$160,000,000 (estimated)",US & Canada,$292587330,US & Canada,$62785337,Jul 18 2010,"$839,030,630"
Dune: Part Two,8.8,290K,"March 1, 2024 (India)","$190,000,000 (estimated)",US & Canada,$244890027,US & Canada,$82505391,Mar 3 2024,"$587,090,027"
Star Wars: Episode V - The Empire Strikes Back,8.7,1.4M,"December 10, 1980 (India)","$18,000,000 (estimated)",US & Canada,$292753960,US & Canada,$4910483,May 25 1980,"$538,375,067"
The Matrix,8.7,2M,"May 31, 2020 (India)","$63,000,000 (estimated)",US & Canada,$172076928,US & Canada,$27788331,Apr 4 1999,"$467,623,299"
GoodFellas,8.7,1.3M,"July 31, 2019 (India)","$25,000,000 (estimated)",US & Canada,$46909721,US & Canada,$6368901,Sep 23 1990,"$47,049,784"
One Flew Over the Cuckoo's Nest,8.7,1.1M,"March 10, 1977 (India)","$3,000,000 (estimated)",US & Canada,$108981275,US & Canada,Not Found,Not Found,"$109,114,987"
Se7en,8.6,1.8M,"September 22, 1995 (India)","$33,000,000 (estimated)",US & Canada,$100125643,US & Canada,$13949807,Sep 24 1995,"$327,333,559"
Interstellar,8.7,2.1M,"November 7, 2014 (India)","$165,000,000 (estimated)",US & Canada,$188020017,US & Canada,$47510360,Nov 9 2014,"$733,202,212"
It's a Wonderful Life,8.6,498K,"January 7, 1947 (United States)","$3,180,000 (estimated)",US & Canada,$1483643,US & Canada,$44000,Dec 20 2020,"$9,767,242"
Shichinin No Samurai,8.6,366K,"April 26, 1954 (Japan)","¥125,000,000 (estimated)",US & Canada,$318649,US & Canada,$15942,Jul 28 2002,"$346,258"
The Silence of the Lambs,8.6,1.5M,"February 14, 1991 (United States)","$19,000,000 (estimated)",US & Canada,$130742922,US & Canada,$13766814,Feb 18 1991,"$272,742,922"
Saving Private Ryan,8.6,1.5M,"March 26, 1999 (India)","$70,000,000 (estimated)",US & Canada,$217049603,US & Canada,$30576104,Jul 26 1998,"$482,351,251"
City of God,8.6,798K,"January 18, 2007 (India)","R$3,300,000 (estimated)",US & Canada,$7564459,US & Canada,$88292,Jan 19 2003,"$30,680,793"
